barcode,brand,category,size
0000010202109,Gabriella,Колготки и чулки,
0000010202126,Gabriella,Колготки и чулки,
0000010202127,Gabriella,Колготки и чулки,
0000010203127,Gabriella,Колготки и чулки,
0000010204126,Gabriella,Колготки и чулки,
0000010402125,Gabriella,Колготки и чулки,
0000010402126,Gabriella,Колготки и чулки,
0000010402211,ESLI,Носки женские,
0000010403122,Gabriella,Колготки и чулки,
0000010404109,Gabriella,Колготки и чулки,
0000010404126,Gabriella,Колготки и чулки,
0000010405109,Gabriella,Колготки и чулки,
0000010405122,Gabriella,Колготки и чулки,
0000010405126,Gabriella,Колготки и чулки,
0000010405127,Gabriella,Колготки и чулки,
0000010502127,Gabriella,Колготки и чулки,
0000010503122,Gabriella,Колготки и чулки,
0000010503127,Gabriella,Колготки и чулки,
0000010504122,Gabriella,Колготки и чулки,
0000010504125,Gabriella,Колготки и чулки,
0000010505122,Gabriella,Колготки и чулки,
0000010505127,Gabriella,Колготки и чулки,
0000030056640,Rexona,"Дезодорант, антиперспирант",40 мл
0000030108387,Maybelline New York,Тушь для ресниц,9.5 мл
0000030144224,Maybelline New York,Тушь для ресниц,10 мл
0000030144552,Maybelline New York,Тушь для ресниц,7.2 мл
0000030144651,Maybelline New York,Блеск для губ,5.4 мл
0000030144941,Maybelline New York,Жидкая помада,4.2 мл
0000030145511,Maybelline New York,Тушь для ресниц,8.7 мл
0000030145535,Maybelline New York,Жидкая помада,4.2 мл
0000030147119,Maybelline New York,Тушь для ресниц,7.2 мл
0000030149649,L'Oreal Paris,Тушь для ресниц,9.9 мл
0000030150058,Maybelline New York,Жидкая помада,4.2 мл
0000030150638,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030152229,Maybelline New York,Тушь для ресниц,7.2 мл
0000030152335,Maybelline New York,Блеск для губ,5.4 мл
0000030152434,Maybelline New York,Тушь для ресниц,7.7 мл
0000030152830,Maybelline New York,Тушь для ресниц,7.2 мл
0000030158603,Maybelline New York,Жидкая помада,4.2 мл
0000030158672,L'Oreal Paris,Тушь для ресниц,9.9 мл
0000030158719,Maybelline New York,Блеск для губ,5.4 мл
0000030163836,Maybelline New York,Блеск для губ,5.4 мл
0000030166394,Maybelline New York,Блеск для губ,5.4 мл
0000030166967,Maybelline New York,Тушь для ресниц,7.2 мл
0000030171558,Maybelline New York,"Корректор, консилер для лица",1.5 мл
0000030171565,Maybelline New York,"Корректор, консилер для лица",6.8 мл
0000030171695,Maybelline New York,"Корректор, консилер для лица",6.8 мл
0000030173583,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030173590,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030173606,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030173613,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030173620,L'Oreal Paris,"Корректор, консилер для лица",11 мл
0000030176171,Maybelline New York,Тушь для бровей,3.5 мл
0000030189010,L'Oreal Paris,Тушь для ресниц,9.9 мл
0000030189195,Maybelline New York,Тушь для ресниц,
0000030189218,Maybelline New York,Тушь для ресниц,
0000046137777,Rexona,"Дезодорант, антиперспирант",50 мл
0000046149886,Rexona,"Дезодорант, антиперспирант",40 мл
0000046151407,Dove,"Дезодорант, антиперспирант",40 мл
0000046195890,Rexona,"Дезодорант, антиперспирант",40 мл
0000046195906,Rexona,"Дезодорант, антиперспирант",50 мл
0000046197504,Rexona,"Дезодорант, антиперспирант",50 мл
0000046205957,Dove,"Дезодорант, антиперспирант",40 мл
0000046209252,Rexona,"Дезодорант, антиперспирант",40 мл
0000046218001,Dove,"Дезодорант, антиперспирант",40 мл
0000046244604,Rexona,"Дезодорант, антиперспирант",30 мл
0000046249234,Rexona,"Дезодорант, антиперспирант",50 мл
0000046249241,Rexona,"Дезодорант, антиперспирант",40 мл
0000046249272,Dove,"Дезодорант, антиперспирант",40 мл
0000046262745,Rexona,"Дезодорант, антиперспирант",50 мл
0000046274885,Rexona,"Дезодорант, антиперспирант",45 г
0000046274908,Rexona,"Дезодорант, антиперспирант",40 мл
0000046274915,Rexona,"Дезодорант, антиперспирант",50 мл
0000046274922,Rexona,"Дезодорант, антиперспирант",40 мл
0000046274939,Rexona,"Дезодорант, антиперспирант",50 мл
0000046274946,Rexona,"Дезодорант, антиперспирант",55 г
0000047102126,Gabriella,Колготки и чулки,
0000047103126,Gabriella,Колготки и чулки,
0000047104126,Gabriella,Колготки и чулки,
0000050076611,Rexona,"Дезодорант, антиперспирант",40 мл
0000050285662,Dove,"Дезодорант, антиперспирант",40 мл
0000050287062,Dove,"Дезодорант, антиперспирант",40 мл
0000050671304,Max Factor,Тушь для ресниц,9 мл
0000050683338,Max Factor,Тональная основа,35 мл
0000050683345,Max Factor,Тональная основа,35 мл
0000050683352,Max Factor,Тональная основа,35 мл
0000050683376,Max Factor,Тональная основа,35 мл
0000059082309,Rexona,"Дезодорант, антиперспирант",50 мл
0000059085751,Rexona,"Дезодорант, антиперспирант",50 мл
0000060014429,Vaseline,Бальзам для лица,50 мл
0000060018960,Vaseline,Бальзам для лица,100 мл
0000060019035,Vaseline,"Крем, молочко и лосьон для тела",50 мл
0000080466437,Dove,"Дезодорант, антиперспирант",40 мл
0000086925020,Pastel,"Корректор, консилер для лица",4.5 г
0000086925037,Pastel,"Корректор, консилер для лица",4.5 г
