# Makiyaj Cosmetics
Location: Baku, Azerbaijan
Address: ул. Илгара Зульфигарова, 7K, Baku
Phone / WhatsApp: +994 51 539 37 78
Metro Station: Azi Aslanov (Həzi Aslanov m/s, Ази Асланов)
Area: Near Azi Aslanov metro station, Khatai district, Baku
Assortment: Korean Cosmetics, Anua, Beauty of Joseon, Makeup, Skincare, Beauty Products
Format: each line is '- <product> | <price> | Заказать: <order link>'. Prices are in AZN. The order link opens a WhatsApp chat with the store.

Total items in store: 9314

- 3W Clinic Clear Foam Cleansing Avocado, 100 мл — пенка и мусс для умывания | 5,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%25203W%2520CLINIC%2520CLEAR%2520FOAM%2520CLEANSING%2520100%2520ML%2520AVOCADO&t=3W%20CLINIC%20CLEAR%20FOAM%20CLEANSING%20100%20ML%20AVOCADO
- 3W Clinic Clear Foam Cleansing Charcoal, 100 мл — пенка и мусс для умывания | 5,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%25203W%2520CLINIC%2520CLEAR%2520FOAM%2520CLEANSING%2520100%2520ML%2520CHARCOAL&t=3W%20CLINIC%20CLEAR%20FOAM%20CLEANSING%20100%20ML%20CHARCOAL
- 3W Clinic Clear Foam Cleansing Citron-c, 100 мл — пенка и мусс для умывания | 5,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%25203W%2520CLINIC%2520CLEAR%2520FOAM%2520CLEANSING%2520100%2520ML%2520CITRON-C&t=3W%20CLINIC%20CLEAR%20FOAM%20CLEANSING%20100%20ML%20CITRON-C
- 3W Clinic Clear Foam Cleansing Vitamin C, 100 мл — пенка и мусс для умывания | 5,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%25203W%2520CLINIC%2520CLEAR%2520FOAM%2520CLEANSING%2520100%2520ML%2520VITAMIN%2520C&t=3W%20CLINIC%20CLEAR%20FOAM%20CLEANSING%20100%20ML%20VITAMIN%20C
- AGIVA Styling Glued, 400 мл — лак для волос | 6,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520AGIVA%2520400%2520ML%2520STYLING%2520GLUED&t=AGIVA%20400%20ML%20STYLING%20GLUED
- AGIVA Styling GUM, 400 мл — лак для волос | 6,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520AGIVA%2520400%2520ML%2520STYLING%2520GUM&t=AGIVA%20400%20ML%20STYLING%20GUM
- AGIVA Styling Rock, 400 мл — лак для волос | 6,5 AZN | Заказать: https://e-push-ai.vercel.app/api/go?to=https%3A%2F%2Fwa.me%2F994515393778%3Ftext%3DSalam%2521%2520Makiyaj%2520almaq%2520ist%25C9%2599yir%25C9%2599m%253A%2520AGIVA%2520400%2520ML%2520STYLING%2520ROCK&t=AGIVA%20400%20ML%20STYLING%20ROCK
